ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
ALÂ ,علا ,Nahiye (1875) El-VechMedineHicaz vilâyeti#
ALACA (Hüseyin.b.d) ,آلاجه ,Nahiye#Kaza (1846)#Nahiye (1867)#Kaza (1919)#ZileSivas-TokatRum eyâleti#BozokBozok eyâleti#MerkezÇorumAnkara vilâyeti#Çorum#
ALACAHACI ,آلاجه حاجی ,Nahiye (1865)#Köy#KoçkiriSivasSivas vilâyeti#KaracaörenİmranlıSivas#
ALACAHAN ,آلاجه خان ,Nahiye (1865)#Nahiye (1924)#MerkezSivasSivas vilâyeti#KangalSivas#
ALACAHİSAR (Kruşevac) ,آلاجه حصار ,Sancak (1458)#Sancak (1588)#Sancak#Sancak (1812)#Sancak (1833)#Rumeli eyâleti#Bosna eyâleti#Rumeli eyâleti#Sırp eyâleti#Osmanlı’dan çıkış#
ALACAKAYA (Guleman) ,آلاجه قيا ,Köy#Kaza (1990)#MerkezMadenElâzığ#Elâzığ#
ALACALI (Yeşilvadi) ,آلاجه لی ,Nahiye (1926) Şileİstanbul#
ALAÇAM ,آلاچام ,Nahiye BafraCanikRum eyâleti#
ALAÇAM maa HİSARCIK ,آلاچام مع حصارجق ,Kaza (1846) CanikTrabzon eyâleti#
ALAÇAM ,آلاچام ,Nahiye (1868)#Kaza (1944)#BafraTrabzon vilâyeti#Samsun#
ALAÇATI ,آلاچاطی ,Nahiye (1867)#Nahiye (1924)#ÇeşmeİzmirAydın vilâyeti#Çeşmeİzmir#
ALADAĞ ,آلاطاغ ,Kaza (16.yy.)#Nahiye (1924)#Nahiye (1926)#LârendeKaraman eyâleti#KaramanKonyaKonya vilâyeti#HadımKonya#
ALADAĞ ,آلاطاغ ,Kaza (Karaisalı’nın Karsantı#nahiyesinde kuruldu. Karsantı#nahiyesinin devamı).#Adana#
Alagöz (BAYAT) ,آلاکوز ,Nahiye#Kaza (1958)#İskilipÇorum#Çorum#
ALAHNAS (Tirebolu bölgesinde idi.) ,آلاحناس ,Nahiye (1530) KürtünTrabzonRum eyâleti#
Alâiye (ALANYA) ,علاءيه ,Sancak (1471)#Sancak (1538)#Sancak (1571)#Sancak (1608)#Sancak (1846)#Kaza (1868)#Kaza (1924)#Anadolu eyâleti#Kaptanpaşa eyâleti#Kıbrıs eyâleti#Adana eyâleti#Karaman eyâleti#TekeKonya vilâyeti#Antalya#
Alakilise (AKARSU) ,آلاکليسا ,Nahiye (1865)#Nahiye (1924)#RefahiyeErzincanErzurum vilâyeti#RefahiyeErzincan#
ALAN VE SARAY-I MİRÂBÂD ,آلان وسرای مير آباد ,Kaza (1855) SüleymaniyeBağdad maa Şehrizor eyâleti#
ALANYA (Alâiye) ,آلانيه ,Kaza (1868) Antalya#
ALAPLI (Yukarıdoğancılar) ,آلاپلی ,Kaza (1841)#Nahiye#Kaza (1990)#BoluKastamonu eyâleti#EreğliZonguldak#Zonguldak#
Alara (ULUGÜNEY) ,آلاره ,Nahiye (1924)#Köy#MerkezAlâiyeAnadolu eyâleti#MerkezAlanyaAntalya#
ALASONYA (Elasson) ,آلا صونيه ,Kaza (1889)#Kaza (1913)#SerfiçeManastır vilâyeti#Yunanistan#
ALAŞEHİR (Filadelfiya) ,آلا شهر ,Kaza (1530)#Kaza (1867)#Kaza (1924)#AydınAnadolu eyâleti#SaruhanAydın vilâyeti#Manisa#
ALAVNE ,آلاونه ,Nahiye#Nahiye#Nevâhi-i erbaaTrablusgarb#Libya#
Albak (BAŞKALE) ,آلباق ,Kaza (1578)#Kaza (1845)#Sancak Mrk. (1910)#Kaza (1924)#HakkâriVan eyâleti#Van maa HakkâriErzurum eyâleti#HakkâriVan vilâyeti#Van#
ALBARDO (Alberedo) ,آلباردو ,Kasaba ViraneVenedikİtalya#
ALBAYRAK (Şikefti) (Derköy) ,آلبايراق ,Nahiye (1888)#Nahiye (1924)#BaşkaleHakkâriVan vilâyeti#BaşkaleVan#
ALELGARBİ ,علی الغربی ,Nahiye (1884) MerkezAmmaraBasra vilâyeti#
ALEŞŞARKÎ ,علی الشرقی ,Nahiye (1884) MerkezAmmaraBasra vilâyeti#
"Alevî (HAKALA) (Hakala nahiyesinin diğer adı olarak nahiye. Sonra lağvedilmiş, köyleri şimdi Suluova’ya bağlı. 1928’de Alevî k.yü var, şimdi yok.) ",علوی ,Nahiye (1902)#Nahiye (1928)#MerkezAmasyaSivas vilâyeti#MerkezAmasya#
ALICIK ,آليجق ,Nahiye (1865)#Nahiye (1924)#MerzifonAmasyaSivas vilâyeti#MerzifonAmasya#
ALİAĞA ,علی آغا ,Nahiye#Kaza#Menemenİzmir#İzmir#
ALİBEY (Cunda) ,علی بک ,"Nahiye (Cunda, Ayvalık’ta#kü.ük bir adadır. Nahiye#lağvedildi.)#AyvalıkBalıkesir#"
ALİKAN ,آليکان ,Kaza HanyaGiritYunanistan#
ALİKİ ,عليکی ,Nahiye (Sarıkaya ilçesi#bölgesinde idi.)#BozokBozokZülkadriye eyâleti#
ALİMANTAR ,علی منطار ,Nahiye Mrk. ElbeyliOğuzeliGaziantep#
ALİNEK ,آل اينک ,Nahiye (1865)#Köy#ErbaaTokatSivas vilâyeti#KarayakaErbaaTokat#
ALİŞAR ,عليشار ,Nahiye (1867)#Köy#MerkezK.Hisar-ı ŞarkîSivas vilâyeti#MerkezŞebinkarahisarGiresun#
ALİŞAR ,عليشار ,Nahiye#Köy#ZeytûnMaraşHalep vilâyeti#MerkezElbistanKahramanmaraş#
"ALMUS (Büyük Almus) (1772 kayıtlarına göre “Tozanlı” dan ayrı olarak “Gâvurni-Kâfirni adıyla anılmış, sonra nahiye olmuş.) ",آلموص ,Köy#Nahiye (1865)#Nahiye (1924)#Kaza (1954)#KâfirniTokatSivas-TokatRum eyâleti#TokatSivasSivas vilâyeti#MerkezTokat#Tokat#
ALPKÖY (Kamarik) ,آلپ کوی ,Nahiye (1865)#Köy#KemahErzincanErzurum vilâyeti#KemahErzincan#
Alpsofu (Âb-ı Safî) (KARAPÜRÇEK) ,آلپ صوفی ,Kaza (1841)#Nahiye (1878)#Nahiye (1954)#KocaeliHudavendigâr eyâleti#AdapazarıİzmitŞehremâneti#AkyazıSakarya#
ALPU ,آلپو ,Köy (C.Ö.)#Nahiye#Kaza (1990)#MerkezMerkezEskişehir#MerkezEskişehir#Eskişehir#
ALPULLU ,آلپوللی ,Nahiye (1865)#Kasaba#Baba-yı AtikKırkkiliseEdirne vilâyeti#MerkezBabaeskiKırklareli#
ALTIKESEK ,آلتی کسک ,Nahiye (1865)#Köy#AziziyeSivasSivas vilâyeti#MerkezPınarbaşıKayseri#
ALTINAKAR ,آلتون آقار ,Nahiye#Köy#MerkezDiyarbakırDiyarbakır vilâyeti#MerkezÇınarDiyarbakır#
ALTINBAŞAK (Harran) ,آلتون بشاق ,Nahiye#Kaza (1867)#Nahiye (1946)#MerkezRuha Diyarbakır vilâyeti#UrfaHaleb vilâyeti#MerkezŞanlıurfa#
ALTINDAĞ ,آلتون طاغ ,Kaza (1953) Ankara#
ALTINEKİN (Zıvarık) ,آلتون اکين ,Nahiye#Nahiye (1928)#Kaza (1990)#MerkezKonya#CihanbeyliKonya#Konya#
ALTINHİSAR (Anduğu) (Ortaköy) ,آلتون حصار ,Kaza#Nahiye (1924)#Kaza (1990)#NiğdeKaraman eyâleti#BorNiğde#Niğde#
ALTINKÖPRÜ ve MELHA ,آلتون کوپری وملحه ,Kaza (19.yy.)#Kaza#KerkükBağdad maa Şehrizor eyâleti#KerkükIrak#
ALTINOLUK ,آلتون اولوق ,Nahiye EdremitBalıkesir#
ALTINOVA (Ayazmend) ,آلتون اووه ,Kaza (1530)#Nahiye (1841)#Nahiye#KaresiAnadolu eyâleti#BergamaİzmirAydın eyâleti#AyvalıkBalıkesir#
ALTINOVA ,آلتون اووه ,Köy#Kaza (1995)#MerkezKaramürselKocaeli#Yalova#
ALTINÖZÜ ,آلتون اوزی ,Nahiye (17.yy.)#Kaza#Nahiye (1865)#Nahiye#Kaza (1945)#MerkezHalebHaleb eyâleti#AntakyaHalep#Antakya HalepHalep vilâyeti#AntakyaHatay#Hatay#
ALTINTAŞ ,آلتون طاش ,Nahiye (1530)#Nahiye (1867)#Kaza (1946)#MerkezKütahyaAnadolu eyâleti#MerkezKütahyaHudâvendigâr vilâyeti#Kütahya#
ALTINTAŞ ,آلتون طاش ,Köy#Kaza Mrk.#YarımcaNizipGaziantep#ArabanGaziantep#
ALTINYAKA (Gödene) ,آلتون يقا ,Nahiye (1958) KumlucaAntalya#
ALTINYAYLÂ (Deliilyas) (Tonus) ,آلتون يايلا ,Nahiye#Kaza (1990) (Deliilyas#şimdi Altınyaylâ bucağına#bağlı ayrı bir kasabadır)#ŞarkışlaSivas#Sivas#
ALTINYAYLÂ (Dirmil) ,آلتون يايلا ,Nahiye (1924)#Nahiye (1953)#Kaza (1990)#TefenniBurdur#GölhisarBurdur#Burdur#
ALEKSANDROPOL ,آلکساندروپول ,Kaza ErivanErmenistan#
ALEKSİNAÇ (Alexinatz) ,آلکسيناچ ,Kaza NişSırbistanYugoslavya#
ALOŞTA (Alouchta) ,آلوشته ,Kasaba (Balıklova#bölgesinde)#KırımRusya#
ALUCA maa GÜLANBER ,علوجه مع کلعنبر ,Kaza (1855) SüleymaniyeBağdad maa Şehrizor eyâleti#
ALUCRA (Mesudiye) ,آلوجره ,Nahiye (16.yy.)#Kaza (1846)#Kaza (1867)#Kaza (1924)#Kaza (1933)#MerkezK.Hisar-ı Şarkî Rum eyâleti#K.Hisar-ı ŞarkîTrabzon eyâleti#K.Hisar-ı ŞarkîSivas vilâyeti#Şebinkarahisar#Giresun#
ALUS (Cezire-i Alus) ,آلوس ,Nahiye (1530)#Kaza#Ana ve HitDiyarbakır eyâleti#BağdadIrak#
Alut (DAMLACIK) (Tavsi) ,علوط ,Nahiye (1877)#Nahiye (1924)#Nahiye (1954)#KâhtaMalatyaMam.retülaziz vilâyeti#KâhtaMalatya#KâhtaAdıyaman#
Alyan (OYALI) (Dalakavasır) ,آليان ,Nahiye#Nahiye (1937)#NusaybinMardin#İdilMardin#
AMÂRA ,عماره ,Sancak (1862)#Sancak (1887)#Bağdad eyâleti#Basra vilâyeti#
AMARYA (Mirona) ,آماريه ,Kaza ResmoGiritYunanistan#
AMASRA ,( آماصره (آماصری ,Kaza (1841)#Nahiye#Nahiye (1924)#Kaza (1991)#ViranşehirKastamonu eyâleti#BartınBoluKastamonu eyâleti#BartınZonguldak#Bartın#
AMASYA ,آماسيه ,Eyâlet Merk (1386)#Sancak (1518)#Sancak (1537-1551)#Rum eyâleti#Rum eyâleti#Anadolu eyâleti#
AMASYA-ÇORUM ,آماسيه - چوروم ,Sancak (1841) Sivas eyâleti#
AMASYA ,آماسيه ,Sancak (1856)#Vilâyet (1924)#Sivas vilâyeti#Amasya#
Amasya (Amasya-i Aydın) (DEĞİRMENBÜKÜ) ,آماسيه ,Nahiye (1530)#Kaza (1841)#Köy#YenişehirAydınAnadolu eyâleti#AydınAydın eyâleti#MerkezBozdoğanAydın#
Amat (TEZEREN) ,آماد ,Nahiye (1865)#Köy#EleşkirtBayazıtErzurum#MerkezMerkezAğrı#
Âmid (Karaâmid) (DİYARBAKIR) ,آمد ,Sancak (Merkez sancağı) Diyarbakır eyâleti#
ÂMİD-İ GARBİ (Garb) ,آمدغربی ,Nahiye (1530)#Nahiye (1867)#MerkezÂmidDiyarbakır eyâleti#Merkez DiyarbakırDiyarbakır vilâyeti#
ÂMİD-İ ŞARKÎ (Şark) ,آمدشرقی ,"Nahiye (1530)#Nahiye (1912’de mevcut,#sonraları lağvedilmiş.)#MerkezÂmid Diyarbakır eyâleti#Merkez DiyarbakırDiyarbakır vilâyeti#"
AMÎK ,عميق ,Nahiye (1517) Arap vilâyeti#
AMİKOVA maa REYHANLI ,عميق اووه مع ريحانلو ,Kaza (1520) HalepHaleb eyâleti#
AMİKİ maa MÜNBİÇ ,عميقی مع منبيچ ,Kaza (Bu kazanın otuz#k.yünden hiçbiri Türkiye’de#g.rünmüyor. Münbi. de halen#Halep’e bağlıdır.)#KilisHaleb eyâleti#
AMİRA ,عامره ,Kaza (1865) HavranSuriye vilâyeti#
AMMAN ,عمان ,Başşehir .rdün#
AMRAN (Umran) ,عمران ,Sancak (16.yy.)#Kaza (19.yy.)#Yemen eyâleti#SanaYemen vilâyeti#
Amutka (YENİBAŞ) ,آموتقه ,Nahiye (1888)#Nahiye (1926)#Köy#MerkezDersimMam.retülaziz vilâyeti#HozatElâzığ#ÇağlarcaHozatTunceli#
ANA ve HİT ,عنه وهيت ,Sancak (1520) Diyarbakır eyâleti#
ANA ,عنه ,Sancak (1534)#Sancak (17.yy.)#Sancak#Kaza (1850-64)#Kaza#Bağdad eyâleti#Rakka eyâleti#Bağdad eyâleti#DüleymBağdad maa Şehrizor eyâleti#BağdadBağdadIrak#
ANABOLU (Navplion) ,آنابولی ,Sancak (17. yy.)#Sancak (1827)#Mora eyâleti#Yunanistan#
"ANADOLU (Ankara, Kütahya) ",آناطولی ,Eyâlet (1393-1841) Anadolu eyâleti#
Anamas (AKSU) ,آنماس ,Nahiye (1530)#Nahiye (1924)#Kaza (1990)#EğirdirHamidAnadolu eyâleti#EğirdirIsparta#Isparta#
ANAMUR (Mamûriye) (Çorak) ,آنامور ,Kaza (16.yy.)#Kaza (1608)#Kaza (1924)#Kaza (1933)#İçilKaraman eyâleti#İçilAdana eyâleti#İçil(Silifke)#İçel(Mersin)#
ANAPA ,آناپه ,"Kasaba#Kasaba (Müstahkem bir kasabadır.#Savaşlara sahne olmuş, Osmanlı-#Rusya arasında defaatle el#değiştirmiştir. Edirne antlaşmasıyla#Rusya’ya bırakılmıştır.)#Çerkezistan#Abaza bölgesiRusya#"
ANAPOLİS (Sultaniye) ,آناپوليس ,Kaza Mrk. (1867)#Kaza (1913)#EsfakyaHanyaGirit vilâyeti#EsfakyaHanyaYunanistan#
Anavarza (Anazarba) (DİLEKKAYA) ,آناوارزه ,Kale#Köy#SisSisArap vilâyeti#MerkezKozanAdana#
ANBAR ,آنبار ,Antik şehir BağdadIrak#
ANCUZ ,عنجوز ,"Nahiye (1928’de bu adda#köy var, şimdi bulunamadı)#MerkezErganimadeniDiyarbakır#"
ANDRİYAS ,آندرياس ,Köy#Kaza Mrk. (1805)#Kaza Mrk. (1933)#AkşehirâbâdMerkezK.Hisar-ı ŞarkîRum eyâleti#SuşehriK.Hisar-ı ŞarkîTrabzon eyâleti#SuşehriSivas#
ANDIRIN (Andıran) ,آندرين ,Nahiye#Kaza (1855)#Kaza (1866)#Nahiye (1908)#Kaza (1925)#MaraşMaraşZülkadriye eyâleti#MaraşAdana eyâleti#MaraşHalep vilâyeti#GöksunMüs.Maraş Sancağı#Kahramanmaraş#
ANDİ ,آندی ,Kaza DağıstanRusya#
ANDİFLİ ,آندفلی ,Kaza Mrk. KaşAntalya#
ANDİMİLO (Andimilos) ,آنديميلو ,Ada Ege deniziYunanistan#
Anduğu (Ortaköy) (ALTINHİSAR) ,آندوغی ,Kaza (16.yy.)#Nahiye (1924)#Kaza (1990)#NiğdeKaraman eyâleti#BorNiğde#Niğde#
Ani (OCAKLI) ,آنی ,Antik şehir#Köy#Ani#MerkezMerkezKars#
ANİS (Bilâd-ı Anis) (Zoran) ,آنس ,Sancak (1545)#Kaza (19.yy.)#Nahiye#Yemen eyâleti#SanaYemen vilâyeti#ZimarSanaYemen Vilâyeti#
Ank (YEŞİLÖREN) ,آنق ,Nahiye (1517)#Köy#BirecikArap vilâyeti#MerkezHalfetiŞanlıurfa#
ANKARA ,آنقره ,"Eyâlet Mrk. (1393)#Sancak (1461)#Eyâlet (1841)#Sancak (1849)#Vilâyet (1867)#Başkent (1923)#(1836-1847 “Redîf-i Mansûre#Ankara Müşirliği” adı altında#eyâlet, 1847-1867 arası kâh#Ankara, Kâh Bozok eyâlet#olmuştur.)#Anadolu eyâleti#Anadolu eyâleti#Ankara eyâleti#Bozok eyâleti#Ankara vilâyeti#Ankara#"
ANKİSTRİ ,آنکيستری ,Ada Yunanistan#
ANMERKUNG (Yeri tesbit edilemedi). ,آنمرقونغ ,Sancak (1520) Diyarbakır eyâleti#
Antab (TUTAK) ,عنتاب ,Kaza (1865)#Kaza (1925)#Kaza (1938)#BayazıtErzurum eyâleti#Bayazıt#Ağrı#
ANTAKYA ,آنتاکيه ,Nahiye (1517)#Sancak (17. yy.)#Kaza (1865)#Sancak (1918)#Vilâyet Mrk. (939)#HalepArap vilâyeti#Halep eyâleti#HalepHalep vilâyeti#Müstakil Antakya Sancağı#Hatay#
ANTALYA ,آنتاليه ,Sancak Mrk. (16. yy.)#Sancak Mrk. (1846)#Sancak Mrk. (1865)#Müs. Sancak (1914)#Vilâyet (1924)#TekeAnadolu eyâleti#TekeKaraman eyâleti#TekeKonya vilâyeti#Teke Sancağı#Antalya#
ANTİPAKSOS ,آنتيپاقسوس ,Ada Yunanistan#
ANTİPARO ,آنتيپارو ,Ada Yunanistan#
Anzağır (KEVENDÜZÜ) ,آنزغر ,Nahiye (1530)#Köy#DivriğiDarende-DivriğiRum eyâleti#MerkezDivriğiSivas#
AR ,عر ,Nahiye (1871) Cebel-i HarazYemen vilâyeti#
ARAB (Şam) ,عرب ,"Vilâyet (1517) Arap vilâyeti (Fethi Müteakip Suriye, Güney ve#Güneydoğu Anadolu’nun bazı yerlerini kapsayan bu vilâyet#sonra eyâlet oldu.)#"
ARABAN (Altıntaş) ,عربان ,Nahiye (1517)#Nahiye (1524)#Kaza (1957)#BirecikArap vilâyeti#MerkezAyntabHalep eyâleti#Gaziantep#
ARABAT (Arbat) ,آرابات ,Sancak (1435)#Kale (Yarımadanın#kuzeydoğusunda.)#Kırım eyâleti (hanlığı)#KırımRusya#
ARABE ,عرابه ,Kasaba AkkaAkkaBeyrut Lübnan#
ARAÇ ,آراچ ,Kaza (1841)#Kaza (1865)#Kaza (1924)#KastamonuKastamonu eyâleti#KastamonuKastamonu vilâyeti#Kastamonu#
ARAD ,آراد ,Sancak (1551)#Kontluk (1685)#Tımışvar eyâleti#Macaristan#
ARAKLI (Karadere) ,آراقلی ,Nahiye#Kaza (1953)#SürmeneTrabzon#Trabzon#
ARALIK (Başkend) ,آرالق ,Nahiye#Nahiye (1924)#Kaza (1960)#Kaza (1995)#IğdırBayazıt#IğdırKars#Kars#Iğdır#
ARAMAN ,آره مان ,Nahiye Mrk. KaymazKandıraKocaeli#
ARAN ,آران ,Bölge (Erivan ve Nahcivanı#kapsayan bölge.)#Ermenistan#
ARANZ ,عرنس ,Nahiye Mrk.#Nahiye Mrk. (1938)#BeşpınarGarzanSiirtBitlis#BeşpınarKurtalanSiirt#
Arabsun (GÜLŞEHİR) (1948’de “Gülşehir” oldu.) ,عربسون ,Kaza (1779)#Kaza (1865)#Kaza (1924-1933)#Kaza (1954)#NiğdeKaraman eyâleti#NiğdeKonya vilâyeti#Aksaray#Nevşehir#
ARAPKİR ,عرپکير ,Sancak (15 yy.)#Sancak (1520)#Sancak (1846)#Eyâlet Mrk. (1853)#Sancak (1855)#Sancak (1857)#Kaza (1866)#Kaza (1926)#Rum eyâleti#Diyarbakır eyâleti#Harput eyâleti#Harput eyâleti#Diyarbakır eyâleti#Harput eyâleti#Mam.retülazizDiyarbakır vilâyeti#Malatya#
ARAS (Velibaba) ,آراس ,Nahiye (1865)#Nahiye (1953)#PasinlerErzurumErzurum vilâyeti#HorasanErzurum#
ARBE (Rabe) ,آربه ,Ada Adriyatik denizinde#
"ARCİŞ (Ardjch, pitesti) ",آرجيش ,Sancak EflâkRomanya#
ARDAHAN (İlk dönemlerde büyük ve kü.ük Ardahan diye ikiye ayrıldığı olmuştur.) ,آردهان ,Sancak (1574)#Sancak (1578)#Kaza (1828)#Kaza (1878)#Vilâyet (1924)#Kaza (1926)#Vilâyet (1992)#Erzurum eyâleti#Çıldır eyâleti#ÇıldırErzurum eyâleti#Rusya Yönetimi#Ardahan#Kars#Ardahan#
ARDANUÇ (Adakale) ,آردانوچ ,Sancak (1551)#Sancak (1578)#Kaza (1828)#Kaza(1878)#Nahiye (1921)#Kaza (1945)#Erzurum eyâleti#Çıldır eyâleti#ÇıldırErzurum eyâleti#Rusya Yönetimi#MerkezArtvin#Artvin#
ARDASA ,آردسه ,Kaza Mrk.#Kaza Mrk. (1924)#TorulGümüşhaneTrabzon vilâyeti#TorulGümüşhane#
ARDEBİL ,آردبيل ,Şehir İran (İran Azerbaycanı)#
ARDELAN ,آردلان ,Kaza İran (Batı İran)#
ARDEŞEN ,آرده شن ,Nahiye#Kaza (1953)#AtinaRize#Rize#
Ardos (ÇAMLIBEL) ,آردوس ,Nahiye (1865)#Köy#NamrevanErzurumErzurum vilâyeti#MerkezOltuErzurum#
Arduşin (YENİBAŞAK) ,آردوشين ,Sancak Mrk.#Kaza (1878)#Nahiye Mrk. (1884)#Nahiye (1936)#GençBitlis vilâyeti#GençBitlis vilâyeti#ValirMuşBitlis vilâyeti#SolhanBingöl#
ARGA ,آرغه ,Kaza Mrk. (1850)#Kaza Mrk. (1924)#AkçadağMalatyaHarput eyâleti#AkçadağMalatya#
ARGITHANI ,ارغيدخانی ,Kaza (18.yy.)#Nahiye (1865)#Nahiye (1924)#KonyaKaraman eyâleti#IlgınKonyaKonya vilâyeti#IlgınKonya#
ARGOLİDE ,آرغوليده ,Kaza MoraYunanistan#
ARGOMA ,آرغوما ,Nahiye (Merkezifon#bölgesinde idi.)#MerkezAmasyaRum eyâleti#
ARGOS ,آرغوس ,Kaza Korent ve ArgolideYunanistan#
ARGOSTOLİ (Argostolion) ,آرغوستولی ,Şehir (Kefalonya adasında) Yunanistan#
ARGUSLU ,آرغوسلی ,"Nahiye (1928’de Niksar#Mrk. bucağına bağlı köy,#şimdi bulunamadı.)#NiksarTokatSivas vilâyeti#"
ARGUVAN (Tahir) ,آرغوان ,Nahiye (16. yy.)#Kaza (1834)#Kaza#Nahiye (1873)#Nahiye (1924)#Kaza (1954)#MerkezMalatyaRum eyâleti#MaadinHarput eyâleti#MaadinDiyarbakır eyâleti#KebanMam.retülaziz vilâyeti#MerkezMalatya#Malatya#
ARHAVİ (Arhova) ,آرخوی ,Kaza (1530)#Nahiye (1846)#Nahiye (1868)#Nahiye (1936)#Kaza (1954)#TrabzonRum eyâleti#HopaLazistanTrabzon eyâleti#HopaLazistanTrabzon vilâyeti#HopaArtvin#Artvin#
ARICAK (Karabegân) Mirvan) ,آريجق ,Nahiye (1889)#Nahiye (1924)#Kaza (990)#PaluErgânimadeniDiyarbakır#PaluElâzığ#Elâzığ#
ARIL maa KIZILHİSAR-I KEBÎR ,آريل مع قزيل حصار کبير ,Kaza (16.yy.) AyıntabHalep eyâleti#
ARIL ,آريل ,Kasaba MerkezMerkezGaziantep#
ARIM ,آريم ,Kaza (1520)#Kaza (17.yy.)#CanikRum eyâleti#Canik Sivas eyâleti#
ARIM maa ÇARŞAMBA ,آريم مع جهارشندبه ,Kaza (1846) CanikTrabzon eyâleti#
ARIM (Çarşamba’ya bağlı halen “Arım” önekli beş köy vardır.) ,آريم ,Köy#Köy#MerkezÇarşambaTrabzon vilâyeti#MerkezÇarşambaSamsun#
ARIT ,آريت ,Nahiye (1924)#Nahiye (1991)#BartınZonguldak#MerkezBartın#
Arin (GÖLDÜZÜ) ,آرين ,Nahiye (1926) AdilcevazBitlis#
ARİŞ (Kal’atü’l-Ariş) ,عريش ,Kasaba Filistin#
ARKA ,عرقا ,Nahiye (1517) TrablusArap vilâyeti#
ARKADYA (Kyparissia) ,عرقديا ,Sancak (16. yy.)#Eyâlet (1827)#Mora eyâleti#Yunanistan#
ARKASA ,آرقاصا ,Kaza Mrk. (1867)#Kaza Mrk. (1948)#KerpeRodosC.Bahr-i Sefid vilâyeti#Yunanistan#
ARKİKO (Archico) ,آرکيکو ,Sancak (1557)#Kaza#Habeş eyâleti#MusavvaHabeş eyâleti#
ARKUB-I A’LÂ ,عرقوب اعلا ,Nahiye ŞufCebel-i Lübn.nLübnan vilâyeti#
ARKUB-I CENÛBÎ ,عرقوب جنوبی ,Nahiye ŞufCebel-i LübnanLübnan vilâyeti#
ARKUB-I FEVKANÎ ve TAHTANÎ ,عرقوب فوقانی وتحتانی ,Kaza (1856) Cebel-i DürziSayda eyâleti#
ARKUB-I ŞİMALİ ,عرقوب شمالی ,Nahiye ŞufCebel-i LübnanLübnan vilâyeti#
Armişe (AKMEŞE) ,ارميشه ,Nahiye#Nahiye (1924)#Merkezİzmit sancağı#MerkezKocaeli#
Armudili (SABUNCU) (Sabuncupınar) ,آرمود ايلی ,Nahiye MerkezKütahya#
ARMUTLU (Armudan) (Büyükarmutlu) ,آرمودان ,Nahiye (1865)#Nahiye (1938)#KemahErzincanErzurum vilâyeti#İliçErzincan#
ARMUTLU ,آرمودلی ,Nahiye (1867)#Nahiye (1924)#Kaza (1995)#GemlikBursaHudavendigâr vilâyeti#GemlikBursa#Yalova#
ARMUTOVA (Emrudâbâd) (Gömeç) ,آرموداووه ,Nahiye (1867)#Nahiye (1924)#BurhaniyeKaresiHudavendigâr vilâyeti#BurhaniyeBalıkesir#
ARNAUD (Arnavud) (Albania) (İlk merkezi “Argirikasrı=Ergiri”dir.) ,آرناؤد ,Sancak (1535) Rumeli eyâleti#
ARNUN ,عرنون ,Kaza (1520) ŞamŞem eyâleti#
ARPAÇAY (Zaroşad) ,آرپاچايی ,Kaza (1926) Kars#
ARPALI ,آرپالی ,Sancak (1578)#Köy#Çıldır eyâleti#MerkezŞavşatArtvin#
Arpaz (ESENKÖY) ,آرپاز ,Kaza (1530)#Kaza (1841)#Köy#AydınAnadolu eyâleti#AydınAydın eyâleti#MerkezNazilliAydın vilâyeti#
Arpetin (GÖZENEK) ,آرپاتين ,Nahiye(1926)#Köy#YaylâkUrfa#YaylâkBozovaŞanlıurfa#
ARSAK ,آرسق ,Kasaba KazanRusya#
ARSAMOSAT (Sirmat) ,آرساموسات ,Antik şehir Ermenistan#
ARSİN ,آرسين ,Köy#Nahiye (1946)#Kaza (1959)#YomraMerkezTrabzon#MerkezTrabzon#Trabzon#
ARSLANBEY ,آرسلان بک ,Kasaba MerkezİzmitKocaeli#
ARSLANKÖY ,آرسلان کوی ,Nahiye Merkezİçel#
Arsuz (Arsuz ili) (ULUÇINAR) ,آرسوزايلی ,Nahiye (1517)#Nahiye (1520)#Kaza (1608)#Nahiye (1865)#Nahiye (1939)#HalepArap vilâyeti#ÜzeyirHalep eyâleti#BelenAdana eyâleti#İskenderunHalepHalep vilâyeti#İskenderunHatay#
ARŞOVA (Orşova) ,آرشوه ,Sancak#Sancak (1552)#Rumeli eyâleti#Tımışvar eyâleti#
ARTOVA (Artukâbâd) (Kızılca) ,آرتوه ,Nahiye (1530)#Kaza (17.yy.)#Kaza (1865)#Kaza (1924)#TurhalSivas-Tokat Rum eyâleti#SivasSivas eyâleti#SivasSivas vilâyeti#Tokat#
ARTVİN (Livane) (Önceki aşamaları “Livane” maddelerinde.) ,آرتوين ,Sancak (1921)#Vilâyet (1924)#Kaza (1933)#Vilâyet Mrk. (1936)#Vilâyet (1956)#Müstakil Sancak#Artvin#Çoruh#Çoruh#Artvin#
Artukâbâd (ARTOVA) ,آرتق آباد ,Nahiye (16. yy.)#Kaza#Kaza (1865)#Kaza (1924)#TurhalSivas-TokatRum eyâleti#SivasSivas#SivasSivas vilâyeti#Tokat#
ARVAD (Cezire-i Arvad) ,ارواد ,Kaza (1847)#Kaza (1865)#Nahiye (1888)#Nahiye#TrablusşamSayda eyâleti#TrablusşamSuriye vilâyeti#TartusTrablusşamBeyrut#TartusSuriye#
ARYANO (Ariano) ,آريانو ,Kasaba Venedikİtalya#
