İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
AKPINAR						آق پيگار	Nahiye					Kaman	Kırşehir	Kaza	~1990					Kırşehir																																																						
AKPINAR						آق پيگار	Nahiye					Merkez	Adıyaman																																																													
AKPINAR	Bel-izvar					آق پيگار	Nahiye	1865			Eğridere	Gümülcine	Edirne vilâyeti	Nahiye	1919			Eğridere	Gümülcine	Yunanistan																																																						
AKRA						عقره	Kaza					Musul	Bağdad vilâyeti	Kaza					Musul	Irak																																																						
AKRKOF						عقرقوف	Kaza					Bağdad	Bağdad maa Şehrizor eyâleti																																																													
AKSAKAL						آق صقال	Nahiye	1957				Bandırma	Balıkesir																																																													
AKSARAY						آق سرای	Sancak	1525					Karaman eyâleti	Kaza	1865				Niğde	Konya vilâyeti	Müstakil sancak						Aksaray sancağı	Vilâyet	1924				Aksaray	Kaza	1933				Niğde	Vilâyet	1989			Aksaray																														
AKSAZ						آقساز	Nahiye	16. yy.			Anamur	İçil	Karaman eyâleti																																																													
AKSAZ						آقساز	Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Manavgat	Antalya																																																						
AKSEKİ	Nevahi-i Alâiye	Marulya				آقسکی	Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Kaza	~1846				Alâiye	Karaman	Kaza	1868				Teke	Konya vilâyeti	Kaza	1924				Antalya																																									
AKSU	Anamas					آقصو	Nahiye				Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1924				Eğirdir	Isparta	Kaza	~1990					Isparta																																															
AKSU	Macun					آقصو	Nahiye					Merkez	Antalya																																																													
AKSU						آقصو	Şehir						Doğu Türkistan																																																													
AKŞAR						آقشار	Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Suşehri	Sivas																																																						
AKŞAR	Kosor					آقشار	Nahiye					Oltu	Erzurum	Nahiye	1946				Şenkaya	Erzurum																																																						
AKŞAR	Hakif	Şiriz				آقشار	Nahiye	1878			Hizan	Bitlis	Bitlis vilâyeti	Nahiye	1935				Hizan	Bitlis																																																						
AKŞEHİR						آقشهر	Sancak	1381					Anadolu eyâleti	Sancak	1402					Karaman eyâleti	Kaza	1864				Konya	Konya vilâyeti	Kaza	1924				Konya																																									
AKŞEHİRÂBÂD						آقشهر آباد	Nahiye		Suşehri ovası olmalıdır.		Merkez	Karahisar-ı Şarkî	Rum eyâleti																																																													
AKTAŞ	Zobran					آقطاش	Kaza	1841				Viranşehir	Kastamonu eyâleti	Nahiye	1924			Safranbolu	Kastamonu	Kastamonu vilâyeti	Nahiye		Merkezi olan Zobran dahil tüm köyleri Karabük Merkez bucağında. Aktaş nahiyesi lağvedilerek Bu bölgede “Karabük” kurulmuştur.			Safranbolu	Zonguldak																																															
AKTEPE						آق تپه	Nahiye merkezi				Sarısu	Patnos	Ağrı																																																													
AKTUZLA						آقطوزله	Nahiye					Malazgirt	Muş																																																													
AKYAKA	Şuragel	Kızılçakçak				آقيقا	Kaza					Kars	Erzurum eyâleti	Nahiye	1926				Arpaçay	Kars	Kaza	~1990					Kars																																															
AKYAZI						آقيازی	Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Hendek	İzmit	Şehremâneti	Kaza	1944					Kocaeli	Kaza	1954				Sakarya																																									
AKYURT	Ravlı					آقيورد	Nahiye					Çubuk	Ankara	Kaza	~1990					Ankara																																																						
AKZİYARET	Cülmen					آق زيارت	Nahiye					Merkez	Şanlıurfa																																																													
ALÂ						علا	Nahiye	1865			Merkez	Hama	Suriye vilâyeti																																																													
ALÂ						علا	Nahiye	1875			El-Vech	Medine	Hicaz vilâyeti																																																													
ALACA	Hüseyin.b.d					آلاجه	Nahiye				Zile	Sivas-Tokat	Rum eyâleti	Kaza	1846				Bozok	Bozok eyâleti	Nahiye	1867			Merkez	Çorum	Ankara vilâyeti	Kaza	1919				Çorum																																									
ALACAHACI						آلاجه حاجی	Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti	Köy				Karacaören	İmranlı	Sivas																																																						
ALACAHAN						آلاجه خان	Nahiye	1865			Merkez	Sivas	Sivas vilâyeti	Nahiye	1924				Kangal	Sivas																																																						
ALACAHİSAR	Kruşevac					آلاجه حصار	Sancak	1458					Rumeli eyâleti	Sancak	1588					Bosna eyâleti	Sancak						Rumeli eyâleti	Sancak	1812				Sırp eyâleti	Sancak	1833				Osmanlı’dan çıkış																																			
ALACAKAYA	Guleman					آلاجه قيا	Köy				Merkez	Maden	Elâzığ	Kaza	1990					Elâzığ																																																						
ALACALI	Yeşilvadi					آلاجه لی	Nahiye	1926				Şile	İstanbul																																																													
ALAÇAM						آلاچام	Nahiye				Bafra	Canik	Rum eyâleti																																																													
ALAÇAM maa HİSARCIK						آلاچام مع حصارجق	Kaza	1846				Canik	Trabzon eyâleti																																																													
ALAÇAM						آلاچام	Nahiye	1868				Bafra	Trabzon vilâyeti	Kaza	1944					Samsun																																																						
ALAÇATI						آلاچاطی	Nahiye	1867			Çeşme	İzmir	Aydın vilâyeti	Nahiye	1924				Çeşme	İzmir																																																						
ALADAĞ						آلاطاغ	Kaza	16. yy.				Lârende	Karaman eyâleti	Nahiye	1924			Karaman	Konya	Konya vilâyeti	Nahiye	1926				Hadım	Konya																																															
ALADAĞ						آلاطاغ	Kaza		Karaisalı’nın Karsantı nahiyesinde kuruldu. Karsantı nahiyesinin devamı				Adana																																																													
Alagöz	BAYAT					آلاکوز	Nahiye					İskilip	Çorum	Kaza	1958					Çorum																																																						
ALAHNAS					Tirebolu bölgesinde idi.	آلاحناس	Nahiye	~1530			Kürtün	Trabzon	Rum eyâleti																																																													
Alâiye	ALANYA					علاءيه	Sancak	1471					Anadolu eyâleti	Sancak	1538					Kaptanpaşa eyâleti	Sancak	1571					Kıbrıs eyâleti	Sancak	1608				Adana eyâleti	Sancak	1846				Karaman eyâleti	Kaza	1868		Teke	Konya vilâyeti	Kaza	1924			Antalya																									
Alakilise	AKARSU					آلاکليسا	Nahiye	1865			Refahiye	Erzincan	Erzurum vilâyeti	Nahiye	1924				Refahiye	Erzincan																																																						
ALAN VE SARAY-I MİRÂBÂD						آلان وسرای مير آباد	Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
ALANYA	Alâiye					آلانيه	Kaza	1868					Antalya																																																													
ALAPLI	Yukarıdoğancılar					آلاپلی	Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye					Ereğli	Zonguldak	Kaza	~1990					Zonguldak																																															
Alara	ULUGÜNEY					آلاره	Nahiye	1924			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Alanya	Antalya																																																						
ALASONYA	Elasson					آلا صونيه	Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913					Yunanistan																																																						
ALAŞEHİR	Filadelfiya					آلا شهر	Kaza	~1530				Aydın	Anadolu eyâleti	Kaza	1867				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa																																															
ALAVNE						آلاونه	Nahiye					Nevâhi-i Erbaa	Trablusgarb	Nahiye						Libya																																																						
Albak	BAŞKALE					آلباق	Kaza	1578				Hakkâri	Van eyâleti	Kaza	1845				Van maa Hakkârî	Erzurum eyâleti	Sancak merkezi	1910				Hakkâri	Van vilâyeti	Kaza	1924				Van																																									
ALBARDO	Alberedo					آلباردو	Kasaba				Virane	Venedik	İtalya																																																													
ALBAYRAK	Şikefti	Derköy				آلبايراق	Nahiye	1888			Başkale	Hakkâri	Van vilâyeti	Nahiye	1924				Başkale	Van																																																						
ALELGARBİ						علی الغربی	Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																													
ALEŞŞARKÎ						علی الشرقی	Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																													
Alevî	HAKALA				Hakala nahiyesinin diğer adı olarak nahiye. Sonra lağvedilmiş, köyleri şimdi Suluova’ya bağlı. 1928’de Alevî k.yü var, şimdi yok.	علوی	Nahiye	1902			Merkez	Amasya	Sivas vilâyeti	Nahiye	1928				Merkez	Amasya																																																						
ALICIK						آليجق	Nahiye	1865			Merzifon	Amasya	Sivas vilâyeti	Nahiye	1924				Merzifon	Amasya																																																						
ALİAĞA						علی آغا	Nahiye					Menemen	İzmir	Kaza						İzmir																																																						
ALİBEY	Cunda					علی بک	Nahiye		Cunda, Ayvalık’ta kü.ük bir adadır. Nahiye lağvedildi.			Ayvalık	Balıkesir																																																													
ALİKAN						آليکان	Kaza				Hanya	Girit	Yunanistan																																																													
ALİKİ						عليکی	Nahiye		Sarıkaya ilçesi bölgesinde idi.		Bozok	Bozok	Zülkadriye eyâleti																																																													
ALİMANTAR						علی منطار	Nahiye merkezi				Elbeyli	Oğuzeli	Gaziantep																																																													
ALİNEK						آل اينک	Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Köy				Karayaka	Erbaa	Tokat																																																						
ALİŞAR						عليشار	Nahiye	1867			Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Şebinkarahisar	Giresun																																																						
ALİŞAR						عليشار	Nahiye				Zeytûn	Maraş	Halep vilâyeti	Köy				Merkez	Elbistan	Kahramanmaraş																																																						
ALMUS	Büyük Almus				1772 kayıtlarına göre “Tozanlı” dan ayrı olarak “Gâvurni-Kâfirni adıyla anılmış, sonra nahiye olmuş.	آلموص	Köy			Kâfirni	Tokat	Sivas-Tokat	Rum eyâleti	Nahiye	1865			Tokat	Sivas	Sivas vilâyeti	Nahiye	1924				Merkez	Tokat	Kaza	1954				Tokat																																									
ALPKÖY	Kamarik					آلپ کوی	Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Köy					Kemah	Erzincan																																																						
Alpsofu	Âb-ı Safî	KARAPÜRÇEK				آلپ صوفی	Kaza	1841				Kocaeli	Hudavendigâr eyâleti	Nahiye	1878			Adapazarı	İzmit	Şehremâneti	Nahiye	1954				Akyazı	Sakarya																																															
ALPU						آلپو	Köy		Cumhuriyetten önce		Merkez	Merkez	Eskişehir	Nahiye					Merkez	Eskişehir	Kaza	~1990					Eskişehir																																															
ALPULLU						آلپوللی	Nahiye	1865			Baba-yı Atik	Kırkkilise	Edirne vilâyeti	Kasaba				Merkez	Babaeski	Kırklareli																																																						
ALTIKESEK						آلتی کسک	Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Köy				Merkez	Pınarbaşı	Kayseri																																																						
ALTINAKAR						آلتون آقار	Nahiye				Merkez	Diyarbakır	Diyarbakır vilâyeti	Köy				Merkez	Çınar	Diyarbakır																																																						
ALTINBAŞAK	Harran					آلتون بشاق	Nahiye				Merkez	Ruha	Diyarbakır vilâyeti	Kaza	1867				Urfa	Halep vilâyeti	Nahiye	1946				Merkez	Şanlıurfa																																															
ALTINDAĞ						آلتون طاغ	Kaza	1953					Ankara																																																													
ALTINEKİN	Zıvarık					آلتون اکين	Nahiye					Merkez	Konya	Nahiye	1928				Cihanbeyli	Konya	Kaza	~1990					Konya																																															
ALTINHİSAR	Anduğu	Ortaköy				آلتون حصار	Kaza					Niğde	Karaman eyâleti	Nahiye	1924				Bor	Niğde	Kaza	~1990					Niğde																																															
ALTINKÖPRÜ ve MELHA						آلتون کوپری وملحه	Kaza	19. yy.				Kerkük	Bağdad maa Şehrizor eyâleti	Kaza					Kerkük	Irak																																																						
ALTINOLUK						آلتون اولوق	Nahiye					Edremit	Balıkesir																																																													
ALTINOVA	Ayazmend					آلتون اووه	Kaza	~1530				Karesi	Anadolu eyâleti	Nahiye	1841			Bergama	İzmir	Aydın eyâleti	Nahiye					Ayvalık	Balıkesir																																															
ALTINOVA						آلتون اووه	Köy				Merkez	Karamürsel	Kocaeli	Kaza	1995					Yalova																																																						
ALTINÖZÜ						آلتون اوزی	Nahiye	17. yy.			Merkez	Halep	Halep eyâleti	Kaza					Antakya	Halep	Nahiye	1865			Antakya	Halep	Halep vilâyeti	Nahiye				Antakya	Hatay	Kaza	1945				Hatay																																			
ALTINTAŞ						آلتون طاش	Nahiye	~1530			Merkez	Kütahya	Anadolu eyâleti	Nahiye	1867			Merkez	Kütahya	Hudavendigâr vilâyeti	Kaza	1946					Kütahya																																															
ALTINTAŞ						آلتون طاش	Köy				Yarımca	Nizip	Gaziantep	Kaza merkezi					Araban	Gaziantep																																																						
ALTINYAKA	Gödene					آلتون يقا	Nahiye	1958				Kumluca	Antalya																																																													
ALTINYAYLÂ	Deliilyas	Tonus				آلتون يايلا	Nahiye					Şarkışla	Sivas	Kaza	~1990	Deliilyas şimdi Altınyaylâ bucağına bağlı ayrı bir kasabadır				Sivas																																																						
ALTINYAYLÂ	Dirmil					آلتون يايلا	Nahiye	1924				Tefenni	Burdur	Nahiye	1953				Gölhisar	Burdur	Kaza	~1990					Burdur																																															
ALEKSANDROPOL						آلکساندروپول	Kaza					Erivan	Ermenistan																																																													
ALEKSİNAÇ	Alexinatz					آلکسيناچ	Kaza				Niş	Sırbistan	Yugoslavya																																																													
ALOŞTA	Alouchta					آلوشته	Kasaba		Balıklova bölgesinde			Kırım	Rusya																																																													
ALUCA maa GÜLANBER						علوجه مع کلعنبر	Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
ALUCRA	Mesudiye					آلوجره	Nahiye	16. yy.			Merkez	Karahisar-ı Şarkî	Rum eyâleti	Kaza	1846				Karahisar-ı Şarkî	Trabzon eyâleti	Kaza	1867				Karahisar-ı Şarkî	Sivas vilâyeti	Kaza	1924				Şebinkarahisar	Kaza	1933				Giresun																																			
ALUS	Cezire-i Alus					آلوس	Nahiye	~1530				Ana ve Hit	Diyarbakır eyâleti	Kaza					Bağdad	Irak																																																						
Alut	DAMLACIK	Tavsi				علوط	Nahiye	1877			Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																															
Alyan	OYALI	Dalakavasır				آليان	Nahiye					Nusaybin	Mardin	Nahiye	1937				İdil	Mardin																																																						
